experiment_id,seed,coord_0,coord_1,coord_2,coord_3,coord_4,coord_5,coord_6,coord_7,radius_0,radius_1,radius_2,radius_3,dscs_angle_10,dscs_angle_20,dscs_angle_40,dscs_angle_60,dscs_angle_70,dscs_angle_80,dscs_angle_100,dscs_angle_120,dscs_angle_140,dscs_angle_160,hyperparam_object_type,hyperparam_vacuum_wavelength,hyperparam_side_length,hyperparam_number_of_cells,hyperparam_refractive_index,hyperparam_polar_angle,hyperparam_azimuthal_angle,hyperparam_polarization
experiment_4278,4278,0.4976635609631195,0.563284086640014,0.01979692048320736,0.6038973424640884,0.23946740606216543,0.02070487415280242,0.0370230837518809,0.9802142303289894,0.02805735648571739,0.9126479203866728,0.8763761435583681,0.8451739699711323,0.15436349298060553,0.07285717624833175,0.011422331626452169,0.010381574684292062,0.007371585886714236,0.0028019186287381553,0.011189250395128589,0.02361699420858476,0.014491811389706056,0.7242534967222568,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_3861,3861,0.8763992479860414,0.12985332391587234,0.5393768578192245,0.35207705125305255,0.5273283335516384,0.7326011652425437,0.17741176079519527,0.9582959050668264,0.6703903491607313,0.847530281371487,0.04186890971482615,0.5900919107352243,0.10797893509319005,0.04072044085143424,0.016363235732463254,0.0074829848789461795,0.007116360320043243,0.0050395224882369485,0.009520074672512176,0.01533532032570989,0.030059592160346153,0.4498292638404144,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_1538,1538,0.028983693339312278,0.7881204582638797,0.6701667158688733,0.7568338843861638,0.18907685993910395,0.4709775730500826,0.9718613708436443,0.09088358484414938,0.9323020961459934,0.5510319248100977,0.14451602089913196,0.09344949064097763,0.08800282934359874,0.05242573308841039,0.02010604658356944,0.015394766795128747,0.019536954741385594,0.007008579341061422,0.028952075433937467,0.04169691363036119,0.06783437740987013,0.9044357019003215,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_4876,4876,0.4131451899726525,0.8157523925185395,0.6733754675143063,0.06131051560838363,0.7554252752521954,0.0762959821467647,0.5440917068745634,0.3206299726960252,0.41649637746785373,0.7031509762293301,0.5904465708952044,0.6727291161299402,0.19980932610365748,0.08443391855024401,0.029450758078280823,0.02356194063478125,0.016145706943695784,0.007825648720663362,0.032639274820245645,0.03630538926027608,0.06619210001766412,0.8196045949141281,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_232,232,0.32709632650446796,0.3461387204690489,0.6523401921457074,0.31058805104367904,0.847862959096492,0.5627923385401313,0.5733753268873962,0.6966012931101485,0.14480574679825797,0.28409629684326765,0.0752667304934902,0.19087922220389186,0.03913728877980176,0.018466982916779593,0.008368557352613716,0.013355316098997984,0.012770279860732026,0.010264995086561986,0.02024712823871127,0.018481833386441777,0.07086360378835774,0.15979707924561037,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_5198,5198,0.388386590959092,0.542422828133656,0.5483152008256463,0.7173580919357262,0.5555227577074288,0.15928364191585553,0.8900695161764539,0.9563156605958612,0.9295405832907175,0.1032526975724336,0.6884099211026476,0.1704472312051688,0.08539963933843658,0.049171138073524065,0.02416360527685725,0.01637673119035885,0.018574358449055698,0.008432797852959584,0.021634366389492485,0.03509450287604566,0.04604640532498311,0.8198173686175871,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_1960,1960,0.4273189343322634,0.596840212856462,0.18065267604549218,0.5062029643664651,0.10447729455745358,0.18853801455282126,0.05766645680235072,0.7651752581595906,0.9738094563683325,0.1754744328103398,0.7649456162036661,0.5711340776037424,0.27978558472169357,0.1404482473989406,0.03697779400256561,0.03137454251910736,0.022854622065383124,0.007773457821025839,0.03320246671013097,0.04461105865722146,0.07122887806513024,0.6827405276573951,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_656,656,0.30940274559507186,0.003963636752275956,0.22719310712635776,0.4949651416804923,0.5583742149803722,0.6187404831074164,0.07306797824699918,0.5126411340277975,0.34897106947899326,0.9829957999867646,0.7377099667083309,0.009416851661990466,0.03659140069274587,0.03468572605875248,0.019289906398406977,0.01621799419782863,0.017172517623660188,0.007830071353205764,0.023187863813265177,0.052453660298934196,0.04377653214958811,1.0735714974297836,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_464,464,0.7083323509732334,0.34745573672813057,0.08095001327345508,0.0783396419244079,0.19373639522087094,0.5596735182708026,0.7231972374699327,0.34517221182631297,0.6119861801942077,0.21366990885086723,0.15566374920024584,0.21048882942237757,0.1653711041509466,0.07819999333153349,0.02677694871348368,0.019096902675582457,0.014481962719513058,0.011819995284046252,0.02110296839244537,0.02802556627341853,0.05477687343412118,0.16658975664482414,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_3439,3439,0.6801864646742324,0.6472955685576371,0.6766514304355199,0.17287072127609882,0.30654347021130723,0.12760580565797153,0.2689817629829916,0.4853416235009468,0.6709241428473101,0.8028963421373706,0.2679873583611001,0.012739072258818762,0.13319613563159496,0.061341150684608596,0.017593595960918886,0.008508438027581416,0.011259162605886426,0.00956246751591073,0.011969592484946423,0.014810831990373356,0.035615736412862906,0.24822515821051985,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_1994,1994,0.3887620987091994,0.015470993996075655,0.33959462484573366,0.7846721436463266,0.9510554580108902,0.6341382219827246,0.13157536378211077,0.945500733377695,0.9471827362263409,0.946371646933186,0.8258613220086279,0.18374285554282987,0.12370180873476079,0.05150236642414268,0.023820664358570727,0.01594073147935968,0.01662298484918704,0.007099139764626323,0.028520736911863617,0.030682678582925234,0.05293512272892418,0.6813813192523327,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
